title,year,genre,country,avg_vote
Miss Jerry,1894,Romance,USA,5.9
Atlantis,1913,Drama,Denmark,6.6
Il calvario di una madre,1913,Drama,Sweden,7.1
Ma l'amor mio non muore...,1914,Drama,Italy,6.2
Amore di madre,1914,Drama,USA,5.8
Assunta Spina,1915,Drama,Italy,6.4
The Bargain,1914,Western,USA,6.5
A Florida Enchantment,1914,Comedy,USA,5.8
Der Golem,1915,Horror,Germany,6.8
Hypocrites,1915,Drama,USA,6.6
Judith of Bethulia,1914,Drama,USA,6.1
La madonnina del porto,1914,Drama,USA,6.1
Tillie's Punctured Romance,1914,Comedy,USA,6.3
A tolonc,1915,Drama,Hungary,6.3
Uncle Tom's Cabin,1914,Drama,USA,5.3
The Virginian,1914,Western,USA,5.6
Carmen,1915,Drama,USA,6.4
La vampira,1915,Drama,USA,5.8
The Golden Chance,1915,Drama,USA,6.4
The Italian,1915,Drama,USA,6.6
Maciste,1915,Adventure,Italy,5.9
The Nigger,1915,Drama,USA,6.1
Posle smerti,1915,Drama,Russia,6.9
Young Romance,1915,Comedy,USA,5.9
The Children in the House,1916,Drama,USA,4.5
Civilization,1915,Drama,USA,6.0
The Devil's Needle,1916,Drama,USA,6.8
The Half-Breed,1916,Western,USA,6.6
His Picture in the Papers,1916,Comedy,USA,5.9
Schuhpalast Pinkus,1916,Comedy,Germany,5.6
Sherlock Holmes,1916,Mystery,USA,6.4
Shoes,1916,Drama,USA,6.8
Vingarne,1916,Drama,Sweden,5.8
Where Are My Children?,1916,Drama,USA,6.3
Bucking Broadway,1917,Western,USA,6.0
Furcht,1917,Horror,Germany,6.1
A Girl's Folly,1917,Comedy,USA,6.1
The Little Princess,1917,Drama,USA,5.7
Desiderata,1917,Drama,France,6.4
Satana likuyushchiy,1917,Drama,Russia,6.9
Straight Shooting,1917,Western,USA,6.2
Thomas Graals bästa film,1917,Comedy,Sweden,6.0
Tillie Wakes Up,1917,Comedy,USA,4.8
Tösen från Stormyrtorpet,1917,Drama,Sweden,6.7
Az aranyember,1919,Drama,Hungary,5.9
I proscritti,1918,Drama,Sweden,7.3
Broadway Love,1918,Romance,USA,6.0
Sangue gitano,1918,Drama,Germany,6.0
La decima sinfonia,1918,Drama,France,5.9
L'allegra prigione,1917,Comedy,Germany,6.2
Indemoniato,1918,Western,USA,6.1
The Married Virgin,1918,Drama,USA,5.2
Old Wives for New,1918,Drama,USA,6.4
Shifting Sands,1918,Drama,USA,5.1
Stella Maris,1918,Drama,USA,6.7
The Whispering Chorus,1918,Drama,USA,6.8
La principessa delle ostriche,1919,Comedy,Germany,7.2
Don't Change Your Husband,1919,Comedy,USA,6.6
Eyes of Youth,1919,Drama,USA,5.3
"For Better, for Worse",1919,Drama,USA,5.4
Getting Mary Married,1919,Comedy,USA,6.5
The Greatest Question,1919,Drama,USA,5.8
Harakiri,1919,Drama,Germany,5.6
The Hoodlum,1919,Comedy,USA,6.7
Ingmarssönerna,1919,Drama,Sweden,6.9
Meyer il berlinese,1919,Comedy,Germany,6.0
The Miracle Man,1919,Drama,USA,6.6
The Mother and the Law,1919,Drama,USA,6.9
Præsidenten,1919,Drama,Denmark,6.6
Wagon Tracks,1919,Western,USA,6.7
Yankee Doodle in Berlin,1919,Comedy,USA,5.5
Pagine dal libro di Satana,1920,Drama,Denmark,6.7
The Flapper,1920,Comedy,USA,6.6
Genuine,1920,Horror,Germany,6.0
L'Hirondelle et la Mésange,1924,Drama,France,7.1
La giustizia del mare,1920,Drama,France,6.9
Humoresque,1920,Drama,USA,6.2
L'uomo dal coltello a serramanico,1920,Drama,USA,6.2
Der Klosterjäger,1920,Drama,Germany,6.0
Klostret i Sendomir,1920,Drama,Sweden,6.8
The Love Flower,1920,Drama,USA,5.9
Markens grøde,1921,Drama,Norway,6.6
Nomads of the North,1920,Drama,USA,5.7
The Restless Sex,1920,Drama,USA,6.1
Romeo e giulietta sulla neve,1920,Comedy,Germany,6.5
The Saphead,1920,Comedy,USA,6.1
Sex,1920,Drama,USA,6.0
Something to Think About,1920,Drama,USA,5.2
"Die Spinnen, 2. Teil - Das Brillantenschiff",1920,Adventure,Germany,6.4
Terror Island,1920,Mystery,USA,5.5
Das wandernde Bild,1920,Romance,Germany,6.1
Be My Wife,1921,Comedy,USA,6.9
Eldorado,1921,Drama,France,7.0
Enchantment,1921,Comedy,USA,6.4
Forbidden Fruit,1921,Drama,USA,6.5
Amleto,1921,Drama,Germany,7.0
Hintertreppe,1921,Drama,Germany,6.8
Johan,1921,Drama,Sweden,6.8
Leap Year,1924,Comedy,USA,6.1
Little Lord Fauntleroy,1921,Drama,USA,6.7
The Love Light,1921,Drama,USA,6.5
Rojô no reikion,1921,Drama,Japan,6.7
A Sailor-Made Man,1921,Comedy,USA,6.9
Sappho,1921,Drama,Germany,6.8
Scherben,1921,Drama,Germany,6.4
The Sky Pilot,1921,Drama,USA,5.8
La terre,1921,Drama,France,6.9
La pazienza di Davide,1921,Drama,USA,6.8
Too Wise Wives,1921,Drama,USA,5.9
Vier um die Frau,1921,Drama,Germany,6.2
La terra che brucia,1922,Drama,Germany,6.9
The Bride's Play,1922,Romance,USA,6.2
La femme de nulle part,1922,Drama,France,6.5
Flesh and Blood,1922,Drama,USA,6.2
Gli stigmatizzati,1922,Drama,Germany,6.5
The Man from Beyond,1922,Mystery,USA,5.4
Manslaughter,1922,Drama,USA,6.2
Donne viennesi,1923,Drama,USA,6.6
Moran of the Lady Letty,1922,Adventure,USA,6.4
Oliver Twist,1922,Drama,USA,6.7
Shadows,1922,Drama,USA,6.3
The Trap,1922,Drama,USA,6.0
Das alte Gesetz,1923,Drama,Germany,6.8
Ladro d'amore,1923,Drama,USA,5.2
Il vecchio castello,1923,Drama,Sweden,6.9
Il pellegrino,1923,Comedy,USA,7.4
Raskolnikow,1923,Drama,Germany,6.8
La rosa sulle rotaie,1923,Drama,France,7.5
The Shock,1923,Drama,USA,6.5
Die Straße,1923,Drama,Germany,7.0
La notte di San Silvestro,1924,Drama,Germany,6.2
"Senti, amore mio",1923,Comedy,USA,7.1
Captain January,1924,Drama,USA,6.9
The Enchanted Cottage,1924,Drama,USA,6.5
The Family Secret,1924,Drama,USA,6.3
Finanze del granduca,1924,Comedy,Germany,6.4
La zarina,1924,Comedy,USA,6.1
Il re degli scapoli,1924,Comedy,USA,7.2
Kean,1924,Drama,France,6.7
L'ultima risata,1924,Drama,Germany,8.1
Matrimonio in quattro,1924,Comedy,USA,7.2
Le straordinarie avventure di mr. West nel paese dei bolscevichi,1924,Comedy,Soviet Union,6.6
Open All Night,1924,Comedy,USA,4.7
Paris qui dort,1924,Sci-Fi,France,7.2
The Red Lily,1924,Drama,USA,7.1
Secrets,1924,Drama,USA,5.5
Sciopero,1925,Drama,Soviet Union,7.6
L'ombra bianca,1924,Drama,UK,6.3
Yolanda,1924,Romance,USA,5.8
Body and Soul,1925,Drama,USA,6.2
Braveheart,1925,Western,USA,7.0
The Circle,1925,Drama,USA,6.3
L'angelo del focolare,1925,Drama,Denmark,7.1
Il fu Mattia Pascal,1926,Drama,France,7.1
La via senza gioia,1925,Drama,Germany,7.2
Furusato no uta,1926,Drama,Japan,5.8
The Goose Woman,1925,Drama,USA,6.9
Gribiche,1926,Drama,France,6.9
Her Sister from Paris,1925,Comedy,USA,6.5
Il ventaglio di Lady Windermere,1925,Comedy,USA,7.3
The Lady,1925,Drama,USA,5.0
The Mystic,1925,Drama,USA,6.4
Il fantasma dell'opera,1925,Horror,USA,7.6
Poil de carotte,1925,Drama,France,7.0
Zingaresca,1925,Comedy,USA,6.6
The Salvation Hunters,1925,Drama,USA,6.7
Soul-Fire,1925,Drama,USA,4.1
Die Stadt ohne Juden,1924,Drama,Austria,6.4
Stage Struck,1925,Comedy,USA,6.5
Stella Dallas,1925,Drama,USA,7.2
Tumbleweeds,1925,Western,USA,6.5
The Vanishing American,1925,Western,USA,6.8
Zakroyshchik iz Torzhka,1925,Comedy,Soviet Union,6.8
L'erede dei Grishus,1925,Drama,Germany,6.6
Dancing Mothers,1926,Drama,USA,6.6
Le disgrazie di adamo,1926,Comedy,USA,6.4
Fine Manners,1926,Comedy,USA,5.8
Geheimnisse einer Seele,1926,Drama,Germany,6.9
The Great K & A Train Robbery,1926,Western,USA,6.3
La montagna dell'amore,1926,Drama,Germany,6.7
His First Flame,1927,Comedy,USA,6.0
Kiki,1926,Comedy,USA,6.7
Mantrap,1926,Comedy,USA,6.8
La madre,1926,Drama,Soviet Union,7.5
My Lady of Whims,1925,Comedy,USA,5.7
Namus,1925,Drama,Soviet Union,7.0
Secondo la legge,1926,Drama,Soviet Union,7.7
Protsess o tryokh millionakh,1926,Comedy,Soviet Union,7.1
The Road to Mandalay,1926,Drama,USA,6.6
Der Rosenkavalier,1925,Comedy,Austria,6.0
La lettera rossa,1926,Drama,USA,7.7
Shinel,1926,Drama,Soviet Union,6.7
La vita è un charleston,1926,Comedy,USA,7.0
So's Your Old Man,1926,Comedy,USA,6.2
Passerotti,1926,Drama,USA,7.3
La grande sparata,1926,Comedy,USA,6.7
Tartufo,1925,Drama,Germany,7.1
Baby ryazanskie,1927,Drama,Soviet Union,7.1
Café Elektric,1927,Drama,Austria,6.4
The Fair Co-Ed,1927,Comedy,USA,5.6
La fine di San Pietroburgo,1927,Drama,Soviet Union,7.3
Il fantasma del castello,1927,Horror,USA,6.8
Le sue ultime mutandine,1927,Comedy,USA,6.3
The Love of Sunya,1927,Drama,USA,6.1
"Man, Woman and Sin",1927,Drama,USA,5.9
Potseluy Meri Pikford,1927,Comedy,Soviet Union,6.3
Running Wild,1927,Comedy,USA,7.0
A Ship Comes In,1928,Drama,USA,5.6
Spring Fever,1927,Comedy,USA,6.0
Sumka dipkuryera,1927,Thriller,Soviet Union,6.3
Twelve Miles Out,1927,Drama,USA,5.2
Enigma,1929,Drama,Germany,6.7
La battaglia dei sessi,1928,Comedy,USA,6.5
Bringing Up Father,1928,Comedy,USA,4.9
Tabarin di lusso,1928,Comedy,UK,5.6
La caduta della casa Usher,1928,Horror,France,7.3
I cosacchi,1928,Drama,USA,6.5
I due timidi,1928,Comedy,France,6.8
La casa sulla Trubnaja,1928,Comedy,Soviet Union,7.3
Tastatemi il polso,1928,Comedy,USA,7.0
I quattro diavoli,1928,Drama,USA,6.3
Quattro mura,1928,Drama,USA,3.9
Sesso Incatenato,1928,Drama,Germany,6.7
High Treason,1929,Sci-Fi,UK,6.0
Jûjiro,1928,Drama,Japan,7.1
Ridi pagliaccio,1928,Drama,USA,7.6
Maldone,1928,Drama,France,6.8
The Mating Call,1928,Drama,USA,6.8
La canzone della mamma,1927,Drama,USA,5.3
Moulin Rouge,1928,Drama,UK,6.5
Le nostre sorelle di danza,1928,Drama,USA,6.7
Il potere della stampa,1928,Drama,USA,6.4
Rose-Marie,1928,Drama,USA,3.5
Tristana e la maschera,1928,Drama,USA,7.2
L'angelo della strada,1928,Drama,USA,7.4
Tire au flanc,1928,Comedy,France,6.5
Nel gorgo del peccato,1927,Drama,USA,6.5
Sinfonia nuziale,1928,Drama,USA,7.5
Il destino,1928,Drama,USA,7.2
La aldea maldita,1930,Drama,Spain,7.0
Alibi,1929,Crime,USA,5.8
Atlantic,1929,Drama,UK,5.5
Behind That Curtain,1929,Mystery,USA,4.9
L'isola del diavolo,1929,Drama,USA,6.4
Daigaku wa detakeredo,1929,Comedy,Japan,6.4
Funamboli,1929,Drama,USA,5.9
Dinamite,1929,Drama,USA,7.0
Evangelina,1929,Drama,USA,6.6
Fräulein Else,1929,Drama,Germany,6.9
The Girl in the Show,1929,Comedy,USA,5.2
Donna pagana,1928,Drama,USA,7.2
Goluboy ekspress,1929,Drama,Soviet Union,6.4
Her Private Affair,1929,Drama,USA,5.1
Il bacillo dell'amore,1929,Drama,Germany,6.1
The Idle Rich,1929,Comedy,USA,5.9
The Informer,1929,Drama,UK,7.0
The Letter,1929,Drama,USA,6.7
Linda,1929,Drama,USA,6.8
Trappola d'amore,1929,Comedy,USA,6.5
Madame X,1929,Drama,USA,6.0
Marianne,1929,Drama,USA,5.6
